attack_id,location_names,campaign_name,verified_attack_type,attack_date,number_killed,number_wounded
1117523630,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1994-12-25,0,13
-1719272104,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1995-01-22,21,50
1959987710,Algeria,"Isolated Attacks","Confirmed Suicide",1995-01-30,42,286
-613971756,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1995-04-09,7,45
1344604693,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1995-04-09,9,57
-608179237,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-04-19,16,22
-896612886,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1995-04-25,0,30
-1537561231,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1995-06-25,0,3
-156532582,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-07-16,10,0
917511821,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1995-07-24,8,33
1999775204,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-08-07,22,53
896252265,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1995-08-21,4,107
886656851,India,"BKI vs. India","Confirmed Suicide",1995-08-31,18,30
1589147021,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-09-10,0,0
529101693,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-10-17,9,6
2094671663,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-10-20,20,25
-1677025237,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-11-11,20,60
1183381087,Pakistan,"Isolated Attacks","Confirmed Suicide",1995-11-19,17,60
2042659047,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-12-05,29,0
1361811764,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-12-30,0,2
-114514840,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1996-01-08,0,7
415247092,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1996-01-31,120,1400
1273314078,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1996-02-25,5,31
1360166379,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1996-02-25,24,50
318127688,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1996-03-03,18,10
860234452,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1996-03-04,14,130
948847195,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1996-03-20,1,8
1728156224,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1996-03-30,10,6
974551191,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1996-04-12,0,1
-1561670562,Turkey,"PKK vs. Turkey","Confirmed Suicide",1996-06-30,9,30
1821526326,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1996-07-04,36,55
184690850,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1996-07-19,28,0
-574180272,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1996-10-25,12,0
1804659858,Turkey,"PKK vs. Turkey","Confirmed Suicide",1996-10-25,4,12
950778471,Turkey,"PKK vs. Turkey","Confirmed Suicide",1996-10-29,4,9
1260643114,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1996-11-25,0,1
-660514002,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1996-12-17,1,1
1723406869,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1997-03-06,4,6
-1463751263,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1997-03-21,3,48
-1702623252,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1997-03-24,1,8
929403286,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1997-04-01,0,7
-2100543043,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1997-07-30,18,170
-2014145562,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1997-09-04,7,172
-1999748987,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1997-10-15,20,100
1950853857,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1997-10-18,7,3
-520986325,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1997-12-28,0,0
392896550,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1998-01-25,13,25
-363875346,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1998-02-05,8,15
-1417056550,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1998-02-23,46,0
352979252,India,"BKI vs. India","Confirmed Suicide",1998-02-27,1,2
421138759,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1998-03-05,36,300
1389763523,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1998-03-11,2,5
632323745,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1998-05-14,1,0
-1954290281,Kenya,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",1998-08-07,213,5000
1395242232,Tanzania,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",1998-08-07,11,74
-1063598888,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1998-10-29,1,6
-1453399363,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1998-10-30,18,0
1214330541,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1998-11-06,0,24
-948358251,Turkey,"PKK vs. Turkey","Confirmed Suicide",1998-11-17,0,6
-2075258081,Turkey,"PKK vs. Turkey","Confirmed Suicide",1998-12-01,0,9
-1257985253,Turkey,"PKK vs. Turkey","Confirmed Suicide",1998-12-24,1,22
113521134,Turkey,"PKK vs. Turkey","Confirmed Suicide",1999-03-04,0,4
-1942778894,Finland,"Isolated Attacks","Confirmed Suicide",1999-03-08,0,7
1702928537,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1999-03-16,5,15
770153878,Turkey,"PKK vs. Turkey","Confirmed Suicide",1999-03-20,0,3
-665170298,Turkey,"PKK vs. Turkey","Confirmed Suicide",1999-03-27,0,11
-117977515,Turkey,"PKK vs. Turkey","Confirmed Suicide",1999-04-05,1,20
-1782303311,Turkey,"PKK vs. Turkey","Confirmed Suicide",1999-04-08,1,9
119948054,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1999-05-29,3,9
-141885060,Turkey,"PKK vs. Turkey","Confirmed Suicide",1999-07-05,0,17
985170050,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1999-07-25,1,0
120114350,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1999-07-29,1,5
-2077518950,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1999-08-04,13,25
-1417077425,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1999-08-09,1,3
1224952408,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1999-08-15,10,0
-738450667,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1999-09-02,2,0
-38997243,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1999-12-08,4,5
-1013224520,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1999-12-18,24,110
1397591640,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1999-12-18,13,40
1191580391,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1999-12-30,0,3
1657800286,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1999-12-30,7,14
804419427,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-01-05,15,29
-559932517,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-03-02,1,2
940577623,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-03-10,18,50
1361983331,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-05-23,0,6
1635490732,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-06-05,5,11
-966004930,Russia,"Chechen Separatists vs. Russia","Confirmed Suicide",2000-06-07,2,5
886164249,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-06-07,21,27
-196931767,Russia,"Chechen Separatists vs. Russia","Confirmed Suicide",2000-06-11,4,10
-443613581,Russia,"Chechen Separatists vs. Russia","Confirmed Suicide",2000-06-12,6,6
312059573,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-06-14,2,13
-731837186,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-06-26,14,0
-1757875699,Russia,"Chechen Separatists vs. Russia","Confirmed Suicide",2000-07-02,37,81
-1061537206,Russia,"Chechen Separatists vs. Russia","Confirmed Suicide",2000-07-02,3,0
1094710006,Russia,"Chechen Separatists vs. Russia","Confirmed Suicide",2000-07-02,2,0
1371680188,Russia,"Chechen Separatists vs. Russia","Confirmed Suicide",2000-07-02,2,0
1956187621,Russia,"Chechen Separatists vs. Russia","Confirmed Suicide",2000-07-02,3,5
-1278181096,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-08-15,1,6
-1036295225,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-09-15,8,28
