attack_id,location_names,campaign_name,verified_attack_type,attack_date,number_killed,number_wounded
-1943281747,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-21,3,87
-928676043,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-27,30,152
500376473,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-29,3,23
-1673390009,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-30,0,32
-1310222839,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-31,15,40
-475360979,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-31,0,6
-2081651973,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-04-01,10,20
1279559861,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-04-10,10,17
1224538349,Tunisia,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2002-04-11,21,0
1312591129,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-04-12,6,95
-871205190,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-05-07,16,55
322487549,Pakistan,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2002-05-08,15,21
-1487593365,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-05-19,3,55
-253414857,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-05-20,0,0
-508325834,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-05-22,2,51
774423434,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-05-27,2,53
1628894604,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-06-11,1,15
-1751714216,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-06-18,19,70
-770507804,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-06-19,7,45
833607745,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-07-17,5,40
251475941,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-07-30,0,5
525259624,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-08-04,9,52
831418780,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-08-06,0,1
-2101445564,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-09-19,6,60
311019713,Yemen,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2002-10-06,1,0
1432133882,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-10-10,1,48
1084999367,Finland,"Isolated Attacks","Confirmed Suicide",2002-10-11,6,100
-1198387491,Indonesia,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2002-10-12,202,300
277967774,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-10-21,16,48
1233270570,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2002-10-27,3,30
-2123020174,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-11-04,2,60
-1891794700,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-11-21,11,48
-1267626874,Kenya,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2002-11-28,13,80
189030388,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2003-01-05,25,106
-1134639204,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2003-03-05,17,55
-1230594988,Iraq,"Iraqi Rebels vs. U.S. & Allies","Confirmed Suicide",2003-03-22,5,9
-1664216508,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2003-04-24,1,15
-1959405015,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2003-05-01,3,65
730157966,"Saudi Arabia","Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2003-05-12,11,110
1917130864,"Saudi Arabia","Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2003-05-12,5,30
-1605311432,Morocco,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2003-05-16,20,70
971158740,Morocco,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2003-05-16,2,15
997757154,Morocco,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2003-05-16,2,10
1200077038,Morocco,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2003-05-16,3,0
1398455602,Morocco,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2003-05-16,3,0
-503264325,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2003-05-17,2,1
-937391681,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2003-05-18,7,20
